version	date	files	npm	v8	uv	zlib	openssl	modules	lts	security
v25.0.0	2025-10-30	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.2	14.1.146.11	1.51.0	1.3.1	3.5.4	141	-	-
v24.12.0	2025-12-11	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.2	13.6.233.17	1.51.0	1.3.1	3.5.4	137	Krypton	-
v24.11.1	2025-11-13	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.2	13.6.233.10	1.51.0	1.3.1	3.5.4	137	Krypton	-
v24.11.0	2025-10-31	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.1	13.6.233.10	1.51.0	1.3.1	3.5.4	137	Krypton	-
v24.10.0	2025-10-12	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.1	13.6.233.10	1.51.0	1.3.1	3.5.4	137	-	-
v24.9.0	2025-10-06	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.0	13.6.233.10	1.51.0	1.3.1	3.5.3	137	-	-
v24.8.0	2025-09-11	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.6.0	13.6.233.10	1.51.0	1.3.1	3.5.2	137	-	-
v24.7.0	2025-09-10	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.5.1	13.6.233.10	1.51.0	1.3.1	3.5.2	137	-	-
v24.6.0	2025-08-28	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.5.1	13.6.233.10	1.51.0	1.3.1	3.5.2	137	-	-
v24.5.0	2025-08-15	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.5.1	13.6.233.10	1.51.0	1.3.1	3.5.1	137	-	-
v24.3.0	2025-07-31	linux-arm64-musl,linux-arm64-musl,linux-x64-musl	11.4.2	13.6.233.10	1.51.0	1.3.1	3.0.16	137	-	-
